,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11
224,3619,2015-03-01,Westpac Stadium,Wellington,England,Sri Lanka,0,bat,1,MM Ali,HDRL Thirimanne,IR Bell,TM Dilshan,GS Ballance,KC Sangakkara,JE Root,DPMD Jayawardene,EJG Morgan,AD Mathews,JWA Taylor,FDM Karunaratne,JC Buttler,LD Chandimal,CR Woakes,NLTC Perera,SCJ Broad,HMRKB Herath,ST Finn,SL Malinga,JM Anderson,RAS Lakmal
225,3620,2015-03-01,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Pakistan,Zimbabwe,0,bat,0,Nasir Jamshed,CJ Chibhabha,Ahmed Shehzad,Sikandar Raza,Haris Sohail,H Masakadza,Misbah-ul-Haq,BRM Taylor,Umar Akmal,SC Williams,Shahid Afridi,CR Ervine,Sohaib Maqsood,SF Mire,Wahab Riaz,E Chigumbura,Sohail Khan,T Mupariwa,Rahat Ali,T Panyangara,Mohammad Irfan,TL Chatara
226,3621,2015-03-03,Manuka Oval,Canberra,Ireland,South Africa,1,bat,1,WTS Porterfield,HM Amla,PR Stirling,Q de Kock,EC Joyce,F du Plessis,NJ O'Brien,AB de Villiers,A Balbirnie,DA Miller,GC Wilson,RR Rossouw,KJ O'Brien,F Behardien,JF Mooney,DW Steyn,GH Dockrell,KJ Abbott,MC Sorensen,M Morkel,AR McBrine,Imran Tahir
227,3622,2015-03-04,McLean Park,Napier,Pakistan,United Arab Emirates,1,field,0,Nasir Jamshed,Amjad Ali,Ahmed Shehzad,AR Berenger,Haris Sohail,Krishna Chandran,Sohaib Maqsood,Khurram Khan,Misbah-ul-Haq,Shaiman Anwar,Umar Akmal,SP Patil,Shahid Afridi,Rohan Mustafa,Wahab Riaz,Amjad Javed,Sohail Khan,Mohammad Naveed,Rahat Ali,Mohammad Tauqir,Mohammad Irfan,AM Guruge
228,3624,2015-03-05,Saxton Oval,Nelson,Bangladesh,Scotland,0,field,0,Tamim Iqbal,KJ Coetzer,Soumya Sarkar,CS MacLeod,Mahmudullah,HJW Gardiner,Mushfiqur Rahim,MW Machan,Shakib Al Hasan,PL Mommsen,Sabbir Rahman,RD Berrington,Anamul Haque,MH Cross,Nasir Hossain,JH Davey,Mashrafe Mortaza,RM Haq,Rubel Hossain,AC Evans,Taskin Ahmed,I Wardlaw
229,3625,2015-03-06,Western Australia Cricket Association Ground,Perth,India,West Indies,1,bat,0,RG Sharma,DR Smith,S Dhawan,CH Gayle,V Kohli,MN Samuels,AM Rahane,JL Carter,SK Raina,D Ramdin,MS Dhoni,LMP Simmons,RA Jadeja,DJG Sammy,R Ashwin,AD Russell,MM Sharma,JO Holder,Mohammed Shami,JE Taylor,UT Yadav,KAJ Roach
230,3626,2015-03-07,Eden Park,Auckland,Pakistan,South Africa,1,field,0,Sarfraz Ahmed,Q de Kock,Ahmed Shehzad,HM Amla,Younis Khan,F du Plessis,Misbah-ul-Haq,RR Rossouw,Sohaib Maqsood,AB de Villiers,Umar Akmal,DA Miller,Shahid Afridi,JP Duminy,Wahab Riaz,DW Steyn,Sohail Khan,KJ Abbott,Rahat Ali,M Morkel,Mohammad Irfan,Imran Tahir
231,3627,2015-03-07,Bellerive Oval,Hobart,Ireland,Zimbabwe,1,field,0,WTS Porterfield,CJ Chibhabha,PR Stirling,Sikandar Raza,EC Joyce,SF Mire,A Balbirnie,H Masakadza,KJ O'Brien,BRM Taylor,GC Wilson,SC Williams,JF Mooney,CR Ervine,NJ O'Brien,RW Chakabva,GH Dockrell,T Panyangara,AR Cusack,T Mupariwa,AR McBrine,TL Chatara
232,3631,2015-03-10,Seddon Park,Hamilton,India,Ireland,1,bat,0,RG Sharma,WTS Porterfield,S Dhawan,PR Stirling,V Kohli,EC Joyce,AM Rahane,NJ O'Brien,SK Raina,A Balbirnie,MS Dhoni,KJ O'Brien,RA Jadeja,GC Wilson,R Ashwin,SR Thompson,Mohammed Shami,JF Mooney,MM Sharma,GH Dockrell,UT Yadav,AR Cusack
233,3632,2015-03-11,Bellerive Oval,Hobart,Scotland,Sri Lanka,1,bat,1,KJ Coetzer,HDRL Thirimanne,CS MacLeod,TM Dilshan,MW Machan,KC Sangakkara,PL Mommsen,DPMD Jayawardene,FRJ Coleman,AD Mathews,RD Berrington,MDKJ Perera,MA Leask,NLTC Perera,MH Cross,S Prasanna,RML Taylor,KMDN Kulasekara,JH Davey,SL Malinga,AC Evans,PVD Chameera
234,3633,2015-03-12,Westpac Stadium,Wellington,South Africa,United Arab Emirates,1,field,0,HM Amla,Amjad Ali,Q de Kock,AR Berenger,RR Rossouw,Khurram Khan,AB de Villiers,Shaiman Anwar,DA Miller,SP Patil,JP Duminy,Saqlain Haider,F Behardien,Amjad Javed,VD Philander,Mohammad Naveed,DW Steyn,Mohammad Tauqir,M Morkel,Kamran Shazad,Imran Tahir,Fahad Alhashmi
235,3634,2015-03-13,Seddon Park,Hamilton,New Zealand,Bangladesh,0,field,0,MJ Guptill,Tamim Iqbal,BB McCullum,Imrul Kayes,KS Williamson,Soumya Sarkar,LRPL Taylor,Mahmudullah,GD Elliott,Shakib Al Hasan,CJ Anderson,Mushfiqur Rahim,L Ronchi,Sabbir Rahman,DL Vettori,Nasir Hossain,TG Southee,Rubel Hossain,TA Boult,Taijul Islam,MJ McClenaghan,Taskin Ahmed
236,3636,2015-03-14,Eden Park,Auckland,India,Zimbabwe,0,field,0,RG Sharma,CJ Chibhabha,S Dhawan,H Masakadza,V Kohli,SF Mire,AM Rahane,BRM Taylor,SK Raina,SC Williams,MS Dhoni,CR Ervine,RA Jadeja,Sikandar Raza,R Ashwin,RW Chakabva,MM Sharma,T Panyangara,Mohammed Shami,T Mupariwa,UT Yadav,TL Chatara
237,3637,2015-03-14,Bellerive Oval,Hobart,Australia,Scotland,0,field,0,MJ Clarke,KJ Coetzer,AJ Finch,CS MacLeod,SR Watson,MW Machan,JP Faulkner,PL Mommsen,DA Warner,FRJ Coleman,SPD Smith,RD Berrington,GJ Maxwell,MH Cross,BJ Haddin,JH Davey,MG Johnson,RML Taylor,MA Starc,MA Leask,PJ Cummins,I Wardlaw
238,3638,2015-03-15,McLean Park,Napier,United Arab Emirates,West Indies,1,field,1,Amjad Ali,DR Smith,AR Berenger,J Charles,Krishna Chandran,MN Samuels,Khurram Khan,JL Carter,Shaiman Anwar,AD Russell,SP Patil,D Ramdin,Amjad Javed,LMP Simmons,Nasir Aziz,DJG Sammy,Mohammad Naveed,JO Holder,Mohammad Tauqir,KAJ Roach,AM Guruge,JE Taylor
239,3643,2015-03-21,Westpac Stadium,Wellington,New Zealand,West Indies,0,bat,0,MJ Guptill,CH Gayle,BB McCullum,J Charles,KS Williamson,LMP Simmons,LRPL Taylor,MN Samuels,CJ Anderson,D Ramdin,GD Elliott,JL Carter,L Ronchi,DJG Sammy,DL Vettori,AD Russell,TA Boult,JO Holder,AF Milne,JE Taylor,TG Southee,SJ Benn
240,3644,2015-03-24,Eden Park,Auckland,New Zealand,South Africa,1,bat,0,MJ Guptill,HM Amla,BB McCullum,Q de Kock,KS Williamson,F du Plessis,LRPL Taylor,RR Rossouw,GD Elliott,AB de Villiers,CJ Anderson,DA Miller,L Ronchi,JP Duminy,DL Vettori,VD Philander,MJ Henry,DW Steyn,TG Southee,M Morkel,TA Boult,Imran Tahir
